row.number,subject,trial,color,FID,AD
1086,3,78,3,40,9
1087,3,79,2,48,30
1088,3,80,3,39,9
1089,3,81,1,68,52
1090,3,82,1,55,69
1091,3,83,3,30,15
1092,3,84,2,44,33
1093,3,85,2,43,39
1094,3,86,3,24,15
1095,3,87,1,69,63
1096,3,88,2,43,39
1097,3,89,4,30,15
1098,3,90,4,67,57
1099,3,91,4,68,57
1100,3,92,4,28,22
1101,3,93,2,46,39
1102,3,94,2,44,39
1103,3,95,1,69,63
1104,3,96,3,36,22
1105,4,49,4,0,35
1106,4,50,4,51,65
1107,4,51,4,25,7
1108,4,52,4,28,42
1109,4,53,1,70,69
1110,4,54,3,34,14
1111,4,55,2,54,46
1112,4,56,1,74,65
1113,4,57,2,57,41
1114,4,58,3,22,28
1115,4,59,1,72,65
1116,4,60,3,33,14
1117,4,61,3,41,20
1118,4,62,1,72,71
1119,4,63,2,59,41
1120,4,64,3,37,20
1121,4,65,4,63,69
1122,4,66,4,54,44
1123,4,67,4,0,28
1124,4,68,4,56,33
1125,4,69,1,75,63
1126,4,70,3,40,22
1127,4,71,2,54,39
1128,4,72,1,72,57
1129,4,73,3,28,15
1130,4,74,1,70,63
1131,4,75,2,55,33
1132,4,76,1,71,52
1133,4,77,2,53,42
1134,4,78,3,31,9
1135,4,79,2,54,30
1136,4,80,3,41,9
1137,4,81,1,69,52
1138,4,82,1,55,69
1139,4,83,3,26,15
1140,4,84,2,52,33
1141,4,85,2,48,39
1142,4,86,3,30,15
1143,4,87,1,64,63
1144,4,88,2,50,39
1145,4,89,4,25,15
1146,4,90,4,68,57
1147,4,91,4,68,57
1148,4,92,4,23,22
1149,4,93,2,55,39
1150,4,94,2,60,39
1151,4,95,1,69,63
1152,4,96,3,38,22
1153,5,49,4,0,35
1154,5,50,4,0,65
1155,5,51,4,0,7
1156,5,52,4,43,42
1157,5,53,1,73,69
1158,5,54,3,23,14
1159,5,55,2,52,46
1160,5,56,1,76,65
