"","subject","pain","money","money.per.pain","regret","display","subject_id","id","session","run"
"37","42",-8.98644132706705,0.0960602592035312,93.5500424585228,29.1603980362519,"regret = 29.2","BR982_ses-v2_run_3_4","BR982",2,"3_4"
"38","43",-4.7597830885728,0.0152928887861305,311.241594386638,21.3572516692782,"regret = 21.4","BV156_ses-v2_run_1_2","BV156",2,"1_2"
"39","44",-37.3165946842883,0.0544629911125357,685.173434694063,25.6666435136441,"regret = 25.7","BV156_ses-v2_run_3_4","BV156",2,"3_4"
"40","45",0.259636878967224,0.0543307940301359,-4.77881620546923,44.9683719584448,"regret = 45.0","BV227_ses-v1_run_1_2","BV227",1,"1_2"
"41","46",0.252392346674373,0.0581163168725247,-4.34288269210148,44.6815145232251,"regret = 44.7","BV227_ses-v1_run_3_4","BV227",1,"3_4"
"42","47",0.486078901543172,0.0722949305712343,-6.72355444154172,42.8335954891152,"regret = 42.8","BV227_ses-v2_run_1_2","BV227",2,"1_2"
"43","48",-0.571320677431429,0.0894469442828921,6.3872576308982,39.3206309995856,"regret = 39.3","BV227_ses-v2_run_3_4","BV227",2,"3_4"
"44","49",-0.0121028327638025,0.0334774429755714,0.361522018651004,44.9325034105043,"regret = 44.9","BV250_ses-v1_run_1_2","BV250",1,"1_2"
"45","5",-0.935377305349528,0.0665271517150088,14.0600834582026,39.096196992894,"regret = 39.1","AE202_ses-v2_run_1_2","AE202",2,"1_2"
"46","50",0.633161422408512,0.0583480422944517,-10.8514595779115,46.0435933155033,"regret = 46.0","BV250_ses-v1_run_3_4","BV250",1,"3_4"
"47","51",1.50460377319245,0.110149102465502,-13.6597007103502,42.2093907497124,"regret = 42.2","BV250_ses-v2_run_1_2","BV250",2,"1_2"
"48","52",-0.296072942299886,0.0640770697444089,4.62057555816557,41.6339883200011,"regret = 41.6","BV250_ses-v2_run_3_4","BV250",2,"3_4"
"49","53",-1.77769545224486,0.00348057849880032,510.747122312451,22.244607293433,"regret = 22.2","BV520_ses-v1_run_1_2","BV520",1,"1_2"
"50","54",-2.7826042877997,0.00983327911051884,282.978267628252,20.6571968913532,"regret = 20.7","BV520_ses-v1_run_3_4","BV520",1,"3_4"
"51","55",-0.638695140349105,0.0510638727077317,12.5077693187262,43.8088940743428,"regret = 43.8","BV520_ses-v2_run_1_2","BV520",2,"1_2"
"52","56",-0.957800075877308,0.0423200925816038,22.6322774230805,42.7067263385515,"regret = 42.7","BV520_ses-v2_run_3_4","BV520",2,"3_4"
"53","57",1.38683874454231,0.0839235605134432,-16.5250227237459,44.7690136488293,"regret = 44.8","BV679_ses-v1_run_1_2","BV679",1,"1_2"
"54","58",1.00971898719253,0.0387468427834716,-26.0593874147405,42.8005891825083,"regret = 42.8","BV679_ses-v1_run_3_4","BV679",1,"3_4"
"55","59",-1.00663641318093,0.0341307132374122,29.4935651118334,41.7039336833383,"regret = 41.7","BV935_ses-v1_run_1_2","BV935",1,"1_2"
"56","6",-0.184307606778536,0.110336893257917,1.67040779685277,37.3784497839476,"regret = 37.4","AE202_ses-v2_run_3_4","AE202",2,"3_4"
"57","60",-2.0427815362611,0.0474806108724194,43.0234889300405,36.2218369949663,"regret = 36.2","BV935_ses-v1_run_3_4","BV935",1,"3_4"
"58","61",-0.836397711907782,0.048243420628816,17.337031682372,41.6787869009531,"regret = 41.7","BV935_ses-v2_run_1_2","BV935",2,"1_2"
"59","62",-1.23452909093606,0.0724390774773307,17.0423082944754,37.8379092544897,"regret = 37.8","BV935_ses-v2_run_3_4","BV935",2,"3_4"
"60","63",0.660311487418175,0.0477331573437169,-13.8333922196557,42.8086783147522,"regret = 42.8","BW137_ses-v1_run_1_2","BW137",1,"1_2"
"61","64",-0.851709872298979,0.070778080245693,12.0335260484945,38.8453175232105,"regret = 38.8","BW137_ses-v1_run_3_4","BW137",1,"3_4"
"62","65",-1.35064112595412,0.144189824842354,9.36710428375102,32.2904986299699,"regret = 32.3","BW137_ses-v2_run_1_2","BW137",2,"1_2"
"63","66",-0.0231599336536922,0.144030817216115,0.160798460366584,37.4652727211977,"regret = 37.5","BW137_ses-v2_run_3_4","BW137",2,"3_4"
"64","67",0.198955145724834,0.116122770532779,-1.71331724873609,41.3978852753598,"regret = 41.4","BW169_ses-v1_run_1_2","BW169",1,"1_2"
"65","68",-1.08801114384645,0.074668142551001,14.5712897987693,36.696067920291,"regret = 36.7","BW169_ses-v1_run_3_4","BW169",1,"3_4"
"66","69",-1.03491117330171,0.114247480499506,9.05850324906012,35.0646245100403,"regret = 35.1","BW169_ses-v2_run_1_2","BW169",2,"1_2"
"67","7",0.258301611409225,0.0768485335843392,-3.3611781430513,44.5011439957013,"regret = 44.5","AS988_ses-v1_run_1_2","AS988",1,"1_2"
"68","70",-1.32586625623658,0.11103512230268,11.940962721888,36.3103900379711,"regret = 36.3","BW169_ses-v2_run_3_4","BW169",2,"3_4"
"69","71",-0.220024053351168,0.0453465843194079,4.85205350421509,41.8366006944538,"regret = 41.8","BW460_ses-v1_run_1_2","BW460",1,"1_2"
"70","72",-0.781417006914676,0.0485607588007947,16.0915320561648,41.9081729487546,"regret = 41.9","BW460_ses-v1_run_3_4","BW460",1,"3_4"
"71","73",0.703195749628506,0.077242656556209,-9.10372300720645,44.2312962093749,"regret = 44.2","BW730_ses-v2_run_1_2","BW730",2,"1_2"
"72","74",0.0475479358664943,0.0518726211159825,-0.916628750264643,43.7403461636685,"regret = 43.7","BW730_ses-v2_run_3_4","BW730",2,"3_4"
"73","8",-0.49016599938996,0.163030067257372,3.00659876816554,32.5658083955327,"regret = 32.6","AS988_ses-v1_run_3_4","AS988",1,"3_4"
"74","9",-1.90672415833927,0.0977658950884947,19.5029581288379,32.7307887776261,"regret = 32.7","AS988_ses-v2_run_1_2","AS988",2,"1_2"
